/part2/cf_map_part2-level1.txt, 26
/part2/cf_map_part2-level1.txt, 34
/part2/cf_map_part2-level1.txt, 17
/part2/cf_map_part2-level1.txt, 83
/part2/cf_map_part2-level1.txt, 87
/part2/cf_map_part2-level2.txt, 27
/part2/cf_map_part2-level2.txt, 104
/part2/cf_map_part2-level2.txt, 102
/part2/cf_map_part2-level2.txt, 7
/part2/cf_map_part2-level2.txt, 111
/part2/cf_map_part2-level3.txt, 0
/part2/cf_map_part2-level3.txt, 0
/part2/cf_map_part2-level3.txt, 33
/part2/cf_map_part2-level5.txt, 33
/part2/cf_map_part2-level5.txt, 46
/part2/cf_map_part2-level5.txt, 8
/part2/cf_map_part2-level5.txt, 0
/part2/cf_map_part2-level5.txt, 0
/part2/cf_map_part2-level5.txt, 0
/part2/cf_map_part2-level5.txt, 40
/part2/cf_map_part2-level5.txt, 166
/part2/cf_map_part2-level5.txt, 37
/part2/cf_map_part2-level5.txt, 47
/part2/cf_map_part2-level5.txt, 42
/part2/cf_map_part2-level5.txt, 0
/part2/cf_map_part2-level5.txt, 0
/part2/cf_map_part2-level5.txt, 0
/part2/cf_map_part2-level5.txt, 0
/part2/cf_map_part2-level5.txt, 0
/part2/cf_map_part2-level5.txt, 0
/part2/cf_map_part2-level5.txt, 0
/part2/cf_map_part2-level5.txt, 0
/part2/cf_map_part2-level5.txt, 0
/part2/cf_map_part2-level5.txt, 0
/part2/cf_map_part2-level5.txt, 0
/part2/cf_map_part2-level5.txt, 0
/part2/cf_map_part2-level5.txt, 0
/part2/cf_map_part2-level5.txt, 0
/part2/cf_map_part2-level5.txt, 0
/part2/cf_map_part2-level5.txt, 0
/part2/cf_map_part2-level5.txt, 40
/part2/cf_map_part2-level5.txt, 41
/part2/cf_map_part2-level5.txt, 41
